Largest betweenness centrality at vertex 12203

Vertex	Betweenness Centrality
0	0.00173869
1	0.00130408
2	0.000869426
3	0.000434734
4	0
5	0.00632725
6	0.00217326
7	0.006113
8	0.00393378
9	0.0117256
10	0.00912074
11	0.00868683
12	0.00825288
13	0.00781889
14	0.00738486
15	0.00695078
16	0.00651667
17	0.00608252
18	0.00564832
19	0.00521408
20	0.0047798
21	0.00434548
22	0.00391112
23	0.00347671
24	0.00304227
25	0.00260778
26	0.00217326
27	0.00173869
28	0.00130408
29	0.000869426
30	0.000434734
31	0
32	0
33	0.000434734
34	0.000869426
35	0.00130408
36	0.00173869
37	0.0121569
38	0.0125905
39	0.0130454
40	0
41	0.000434734
42	0.000869426
43	0.00130408
44	0.00173869
45	0.00217326
46	0.00260778
47	0.00304227
48	0.00347671
49	0.00391112
50	0.00434548
51	0.0047798
52	0.00521408
53	0.00564832
54	0.00608252
55	0.00651667
56	0.00695078
57	0.00738486
58	0.0100515
59	0.011748
60	0.00868683
61	0.00825288
62	0.00781889
63	0.00738486
64	0.00695078
65	0.00651667
66	0.00608252
67	0.00564832
68	0.00521408
69	0.0047798
70	0.00434548
71	0.00391112
72	0.00347671
73	0.00304227
74	0.00260778
75	0.00217326
76	0.00173869
77	0.00130408
78	0.000869426
79	0.000434734
80	0
81	0.013172
82	0.0699066
83	0.0506753
84	0.050615
85	0.0509869
86	0.0513593
87	0.0517324
88	0.052106
89	0.0524803
90	0.0528552
91	0.0532304
92	0.0536063
93	0.0539829
94	0.0543599
95	0.0547612
96	0.0551868
97	0.0556125
98	0.0560383
99	0.0263845
100	0.010856
101	0.0104222
102	0.00998843
103	0.0095546
104	0.00912074
105	0.00868683
106	0.00825288
107	0.00781889
108	0.00738486
109	0.00695078
110	0.00651667
111	0.00608252
112	0.00564832
113	0.00521408
114	0.0047798
115	0.00434548
116	0.00391112
117	0.00347671
118	0.00304227
119	0.00260778
120	0.00217326
121	0.00173869
122	0.00130408
123	0.000869426
124	0.000434734
125	0
126	0.00996387
127	0.0103459
128	0.010728
129	0.0111102
130	0.0114924
131	0.0118747
132	0.0122571
133	0.0126396
134	0.0130222
135	0.0134065
136	0.0137926
137	0.0141788
138	0.014565
139	0.0149512
140	0.0153374
141	0.0142565
142	0.0138233
143	0.0133902
144	0.0129571
145	0.0125241
146	0.012091
147	0.011658
148	0.0112249
149	0.0107918
150	0.0103586
151	0.0099254
152	0.00949218
153	0.00905897
154	0.00862579
155	0.00822299
156	0.00785101
157	0.00748444
158	0.00712293
159	0.00676161
160	0.00640254
161	0.00604562
162	0.00568878
163	0.00533257
164	0.00497705
165	0.00462172
166	0.00427382
167	0.00393347
168	0.00359334
169	0.00325336
170	0.00291342
171	0.00257351
172	0.00223378
173	0.00189545
174	0.00155854
175	0.00122193
176	0.000885518
177	0.000933978
178	0.00136722
179	0.00180043
180	0.00223359
181	0.00266674
182	0.00309986
183	0.00353298
184	0.00396611
185	0.00439919
186	0.00483225
187	0.00526531
188	0.00569835
189	0.00613147
190	0.0065647
191	0.0069979
192	0.00743109
193	0.034248
194	0.0328815
195	0.0332176
196	0.0335553
197	0.0338948
198	0.0342351
199	0.0345839
200	0.0349432
201	0.035305
202	0.0356721
203	0.0360446
204	0
205	0.000434734
206	0.000869426
207	0.00130408
208	0.00173869
209	0.00217326
210	0.00260778
211	0.00304227
212	0.00347671
213	0.00391112
214	0.00434548
215	0.0047798
216	0.00521408
217	0.00564832
218	0.00608252
219	0.0238385
220	0
221	0.000434734
222	0.000869426
223	0.00130408
224	0.00173869
225	0.00217326
226	0.00260778
227	0.00304227
228	0.00347671
229	0.00391112
230	0.00434548
231	0.0047798
232	0.00521408
233	0.00564832
234	0.00608252
235	0.00651667
236	0.00695078
237	0.00738486
238	0.00781889
239	0.00825288
240	0.00868683
241	0.0163507
242	0.016911
243	0.016479
244	0.0160471
245	0.0156151
246	0.0151832
247	0.0147512
248	0.0143193
249	0.0138873
250	0.0134554
251	0.0130234
252	0.0125915
253	0.0121596
254	0.0277489
255	0.0274133
256	0.0270796
257	0.0275046
258	0.0228025
259	0.00875669
260	0.00832297
261	0.00788927
262	0.00745561
263	0.00702201
264	0.00666343
265	0.00638542
266	0.025435
267	0.0250959
268	0.0247577
269	0.0244198
270	0.024082
271	0.0237447
272	0.0234094
273	0.0230758
274	0.0227423
275	0.0224089
276	0.0220759
277	0.0217431
278	0.0214106
279	0.0210782
280	0.0207461
281	0.0204141
282	0.0200824
283	0.0197507
284	0.0194192
285	0.0190876
286	0.0187566
287	0.0184262
288	0.0180987
289	0.017774
290	0.0174494
291	0.0171252
292	0.0168012
293	0.0164774
294	0.0161538
295	0.0158303
296	0.0155071
297	0.0275102
298	0.0036619
299	0.00339198
300	0.00312665
301	0.00286522
302	0.00260518
303	0.0023459
304	0.00208731
305	0.00182931
306	0.00157435
307	0.00166503
308	0.00209877
309	0.00253247
310	0.00296617
311	0.00339987
312	0.00383353
313	0.00426715
314	0.00470075
315	0.0128612
316	0
317	0.000434734
318	0.000869426
319	0.00130408
320	0.00173869
321	0.00217326
322	0.00260778
323	0.0242488
324	0.0246801
325	0.0107286
326	0.0109864
327	0.011247
328	0.011512
329	0.011781
330	0.0120516
331	0.0123224
332	0.0125939
333	0.0128665
334	0.0131397
335	0.0134161
336	0.0136989
337	0.0281419
338	0.0285611
339	0.0701682
340	0.0705927
341	0.0710174
342	0.0714423
343	0.0718672
344	0.0722921
345	0.0727172
346	0.0855009
347	0.00245162
348	0.00202238
349	0.00159719
350	0.00117215
351	0.000747368
352	0.000322859
353	0.0141505
354	0.0112112
355	0
356	0.000434734
357	0.000869426
358	0.00130408
359	0.00173869
360	0.00217326
361	0.00260778
362	0.00304227
363	0.00347671
364	0.00391112
365	0.0134619
366	0
367	0.000434734
368	0.000869426
369	0.00130408
370	0.00173869
371	0.00217326
372	0.00260778
373	0.00304227
374	0.00347671
375	0.00391112
376	0.00434548
377	0.0047798
378	0.00521408
379	0.00564832
380	0.00608252
381	0.00651667
382	0.00695078
383	0.00738486
384	0.00781889
385	0.00825288
386	0.00868683
387	0.0840608
388	0.019333
389	0.00738486
390	0.00695078
391	0.00651667
392	0.00608252
393	0.00564832
394	0.00521408
395	0.0047798
396	0.00434548
397	0.00391112
398	0.00347671
399	0.00304227
400	0.00260778
401	0.00217326
402	0.00173869
403	0.00130408
404	0.000869426
405	0.000434734
406	0
407	0.0107959
408	0.0103811
409	0.00996668
410	0.00955252
411	0.00913918
412	0.00872651
413	0.00831413
414	0.00790228
415	0.00749087
416	0.00713417
417	0.00683294
418	0.00653266
419	0.00623327
420	0.00594131
421	0.00598954
422	0.00637162
423	0.00675399
424	0.00713646
425	0.00751908
426	0.00790201
427	0.00828531
428	0.00866877
429	0.00905247
430	0.00943678
431	0.00982157
432	0.0102077
433	0.0105952
434	0.0109828
435	0.00231979
436	0.00206516
437	0.00194139
438	0.00208836
439	0.00250308
440	0.00291798
441	0.00333299
442	0.00374806
443	0.00416313
444	0.00457832
445	0.0049937
446	0.0054093
447	0.00582505
448	0.00624083
449	0.00665885
450	0.00707914
451	0.00750475
452	0.0079356
453	0.00836641
454	0.00879722
455	0.00922803
456	0.00965881
457	0.0148473
458	0
459	0.000434734
460	0.000869426
461	0.00130408
462	0.00173869
463	0.00217326
464	0.00260778
465	0.00304227
466	0.00347671
467	0.00391112
468	0.00434548
469	0.0844667
470	0.105573
471	0.0289922
472	0.0294232
473	0.0298543
474	0.0302853
475	0.0307163
476	0.0311474
477	0.0315785
478	0.0152556
479	0.0156859
480	0.0260526
481	0.0320095
482	0
483	0.000434734
484	0.000869426
485	0.00130408
486	0.00173869
487	0.00217326
488	0.00260778
489	0.00304227
490	0.00347671
491	0.00391112
492	0.00434548
493	0.0047798
494	0.00521408
495	0.00564832
496	0.00608252
497	0.00651667
498	0.00695078
499	0.00738486
500	0.00781889
501	0.00825288
502	0.00868683
503	0.00912074
504	0.0095546
505	0.00998843
506	0.0104222
507	0.010856
508	0.0112897
509	0.0117233
510	0.0121569
511	0.0125905
512	0.013024
513	0.0134575
514	0.013891
515	0.0143244
516	0.100579
517	0.100953
518	0.101327
519	0.101703
520	0.102082
521	0.102467
522	0.102888
523	0.0126156
524	0.0125488
525	0.0125731
526	0.0125992
527	0.0126324
528	0.0126816
529	0.0127508
530	0.012832
531	0.0129173
532	0.0130085
533	0.013104
534	0.0132017
535	0.0133019
536	0.0134032
537	0.0135068
538	0.0136137
539	0.0137308
540	0.0138603
541	0.0139956
542	0.102999
543	0.106209
544	0.0324407
545	0.0256794
546	0.0253039
547	0.0249288
548	0.0245557
549	0.0241849
550	0.0238147
551	0.0234452
552	0.0230768
553	0.0227093
554	0.022342
555	0.0219801
556	0.0216238
557	0.0212682
558	0.0209131
559	0.0205584
560	0.0211873
561	0.0101783
562	0.00974978
563	0.00932137
564	0.00889378
565	0.00846698
566	0.00804022
567	0.0076135
568	0.00718685
569	0.00676025
570	0.00633372
571	0.00590729
572	0.00548106
573	0.00505511
574	0.00462932
575	0.00420357
576	0.00377782
577	0.00339332
578	0.00305008
579	0.00270693
580	0.00236412
581	0.00202292
582	0.00168354
583	0.00135545
584	0.00103879
585	0.00072287
586	0.000778559
587	0.00120565
588	0.0016328
589	0.00206008
590	0.011211
591	0.0110828
592	0.0380909
593	0.0266765
594	0.0262599
595	0.0258432
596	0.0254309
597	0.0250231
598	0.0246154
599	0.0242083
600	0.0238018
601	0.0233954
602	0.022989
603	0.0225835
604	0.0221787
605	0.021774
606	0.0213694
607	0.0209649
608	0.020634
609	0.0203826
610	0.0201377
611	0.0198937
612	0.0196512
613	0.01941
614	0.0191697
615	0.0189305
616	0.0186951
617	0.0184652
618	0.0182379
619	0.0180347
620	0.0178553
621	0.0176823
622	0.017516
623	0.0173505
624	0.0171864
625	0.017024
626	0.0168627
627	0.00986098
628	0.00992524
629	0.0103066
630	0.0106883
631	0.0110705
632	0.0114531
633	0.0118363
634	0.0122201
635	0.012604
636	0.0129879
637	0.0133721
638	0.0137587
639	0.0141491
640	0.0145418
641	0.0149364
642	0.0153327
643	0.00807284
644	0.00774942
645	0.00742627
646	0.00740413
647	0.00768537
648	0.00797226
649	0.00826364
650	0.0085568
651	0.00885671
652	0.00916333
653	0.00947051
654	0.00980275
655	0.0101609
656	0.0105205
657	0.0108803
658	0.0112406
659	0.0116013
660	0.0119623
661	0.0123237
662	0.012706
663	0.0131093
664	0.0135127
665	0.0139161
666	0.0171442
667	0
668	0.000434734
669	0.013891
670	0.0143244
671	0.0147578
672	0.0151911
673	0.0156244
674	0.0463999
675	0.0328719
676	0.0333031
677	0.0337342
678	0.0341654
679	0.0345966
680	0.0350278
681	0.0354591
682	0.033231
683	0.0278699
684	0.027451
685	0.0270356
686	0.0266204
687	0.0262056
688	0.0257911
689	0.025377
690	0.0249637
691	0.024551
692	0.0241383
693	0.0237258
694	0.0233134
695	0.022902
696	0.0224959
697	0.02211
698	0.0217402
699	0.0214269
700	0.0211763
701	0.00326152
702	0.00283889
703	0.00241644
704	0.00199412
705	0.00157195
706	0.00114986
707	0.000727827
708	0.000708431
709	0.00109223
710	0.00147676
711	0.00186145
712	0.00224655
713	0.0026322
714	0.00301821
715	0.00340467
716	0.00379311
717	0.00418349
718	0.00457435
719	0.00496548
720	0.000869426
721	0.00130408
722	0.00173869
723	0.00217326
724	0.00260778
725	0.00304227
726	0.0240513
727	0.0182233
728	0.0177902
729	0.0173571
730	0.016924
731	0.0164908
732	0.0160576
733	0.0156244
734	0.0151911
735	0.0147578
736	0.024409
737	0.024839
738	0.025269
739	0.025699
740	0.0261291
741	0.0265591
742	0.0269892
743	0.0274192
744	0.0278492
745	0.0282792
746	0.0287092
747	0.0291393
748	0.0295693
749	0.0299994
750	0.0358904
751	0.05749
752	0.00270204
753	0.0022689
754	0.00183579
755	0.00140269
756	0.000969589
757	0.000536487
758	0.000496868
759	0.000853542
760	0.00121307
761	0.00157271
762	0.0207687
763	0.0203359
764	0.0199032
765	0.0194704
766	0.0190375
767	0.0186048
768	0.018172
769	0.0177392
770	0.0173068
771	0.0168749
772	0.016443
773	0.0160111
774	0.0155791
775	0.0151471
776	0.0147151
777	0.0142832
778	0.0138513
779	0.0134193
780	0.0129874
781	0.0125554
782	0.0121235
783	0.0116918
784	0.0112605
785	0.0108292
786	0.0103978
787	0.00996655
788	0.00953552
789	0.00910448
790	0.00867344
791	0.00824241
792	0.00781137
793	0.00738031
794	0.00694924
795	0.00651816
796	0.00608708
797	0.00565598
798	0.00522484
799	0.00479366
800	0.00436246
801	0.00393128
802	0.00350012
803	0.00306896
804	0.00263778
805	0.00220655
806	0.00177531
807	0.00134405
808	0.000912764
809	0.0004815
810	5.02363e-05
811	5.09593e-05
812	0.00048371
813	0.000916502
814	0.00134932
815	0.00178211
816	0.00221488
817	0.000280947
818	0.000662904
819	0.00106277
820	0.00148238
821	0.0575388
822	0.0467413
823	0.0471699
824	0.0475986
825	0.0480273
826	0.0490249
827	0.0331777
828	0.0327469
829	0.0323161
830	0.0318853
831	0.0314547
832	0.0310245
833	0.0305942
834	0.0301639
835	0.0297335
836	0.029314
837	0.0289054
838	0.0285001
839	0.0280983
840	0.0276999
841	0.0273047
842	0.0269139
843	0.0265275
844	0.0261413
845	0.0385522
846	0.0386776
847	0.0388515
848	0.0390737
849	0.0392963
850	0.0395339
851	0.0484562
852	0.0493867
853	0.0264349
854	0.0368776
855	0.0578862
856	0.0583154
857	0.0587446
858	0.0591737
859	0.0596027
860	0.0600318
861	0.00811601
862	0.00777252
863	0.00743243
864	0.00746819
865	0.00787817
866	0.00828828
867	0.0349074
868	0.105726
869	0.106106
870	0.106491
871	0.10688
872	0.107285
873	0.107706
874	0.167713
875	0.0576837
876	0.0580694
877	0.0584553
878	0.0588417
879	0.0592291
880	0.0368741
881	0.0364443
882	0.0360145
883	0.0355849
884	0.0351652
885	0.0347553
886	0.0343458
887	0.0339511
888	0.0335713
889	0.033192
890	0.0556329
891	0.0292316
892	0.0288135
893	0.0283977
894	0.0279824
895	0.0275675
896	0.0271526
897	0.0267379
898	0.0263233
899	0.0259087
900	0.0257616
901	0.0258855
902	0.0234831
903	0.0238642
904	0.0242471
905	0.0246319
906	0.0250226
907	0.0254191
908	0.0258156
909	0.0262155
910	0.0266223
911	0.0270331
912	0.027445
913	0.206251
914	0.168063
915	0.168451
916	0.168839
917	0.00240529
918	0.00197351
919	0.00154175
920	0.00111005
921	0.000678438
922	0.000290098
923	0.000322281
924	0.000731752
925	0.00114137
926	0.00155115
927	0.00196099
928	0.00237106
929	0.00278134
930	0.00319595
931	0.00361495
932	0.0041062
933	0.0296949
934	0.027714
935	0.0280317
936	0.0283496
937	0.0286733
938	0.0290029
939	0.0293344
940	0.0371039
941	0.0373312
942	0.0375594
943	0.0377898
944	0.0657047
945	0.0266608
946	0.0268876
947	0.0271172
948	0.0273493
949	0.0172403
950	0.0176582
951	0.0180823
952	0.0185065
953	0.0189309
954	0.0193554
955	0.0197799
956	0.0202046
957	0.0206293
958	0.0210541
959	0.0214788
960	0.0219044
961	0.042583
962	0.00398507
963	0.00433503
964	0.0356069
965	0.0294784
966	0.0298192
967	0.0301693
968	0.030527
969	0.0604608
970	0.0608897
971	0.0613186
972	0.0617475
973	0.0621763
974	0.0626051
975	0.0630339
976	0.0634626
977	0.0638912
978	0.0686499
979	0.000869426
980	0.000434734
981	0
982	0.0467068
983	0.0462394
984	0.0466066
985	0.0469744
986	0.0473425
987	0.0477111
988	0.0480802
989	0.0484504
990	0.0488221
991	0.049195
992	0.0495686
993	0.0499505
994	0.0503407
995	0.050731
996	0.0511228
997	0.0515161
998	0.0519098
999	0.0523036
1000	0.0526977
1001	0.0530928
1002	0.0534889
1003	0.0538855
1004	0.0542829
1005	0.0546806
1006	0.0550786
1007	0.0554768
1008	0.00516963
1009	0.00240271
1010	0.00216943
1011	0.0019373
1012	0.0017069
1013	0.00147827
1014	0.00125039
1015	0.00102338
1016	0.00112639
1017	0.00155858
1018	0.00217326
1019	0.00173869
1020	0.00130408
1021	0.0359579
1022	0.0363202
1023	0
1024	0.000434734
1025	0.000869426
1026	0.209559
1027	0.206356
1028	0.206745
1029	0.207137
1030	0.20753
1031	0.207923
1032	0.251106
1033	0.0615097
1034	0.0450867
1035	0.0447147
1036	0.044343
1037	0.0439717
1038	0.0436057
1039	0.0432452
1040	0.0428852
1041	0.0425256
1042	0.0421664
1043	0.0418072
1044	0.0163867
1045	0.0159536
1046	0.0155205
1047	0.0150874
1048	0.0146543
1049	0.0142212
1050	0.013788
1051	0.0133548
1052	0.0129216
1053	0.0124919
1054	0.0120656
1055	0.0116393
1056	0.011213
1057	0.0107868
1058	0.0103606
1059	0.00993518
1060	0.0095104
1061	0.0090857
1062	0.00866109
1063	0.00823646
1064	0.00781185
1065	0.0073873
1066	0.00696285
1067	0.00653861
1068	0.00611457
1069	0.00569665
1070	0.00528483
1071	0.00487308
1072	0.0044814
1073	0.00410998
1074	0.00373886
1075	0.00337312
1076	0.00301275
1077	0.00265248
1078	0.00229238
1079	0.00193249
1080	0.0117558
1081	0.00582464
1082	0.00541461
1083	0.033738
1084	0.0341171
1085	0.0345062
1086	0.0349053
1087	0.0353049
1088	0.0357051
1089	0.0361073
1090	0.0365111
1091	0.0369149
1092	0.037323
1093	0.0377355
1094	0.0381488
1095	0.0385629
1096	0.038977
1097	0.0393912
1098	0.0398055
1099	0.0402203
1100	0.0406355
1101	0.0410506
1102	0.0414658
1103	0.041881
1104	0.0422962
1105	0.0427149
1106	0.0431371
1107	0.0435596
1108	0.0780835
1109	0.0333786
1110	0.0330382
1111	0.0326982
1112	0.0323584
1113	0.032019
1114	0.0316803
1115	0.0313424
1116	0.0310049
1117	0.0306695
1118	0.0303363
1119	0.0300035
1120	0.0296711
1121	0.0293392
1122	0.0290076
1123	0.0286761
1124	0.0283446
1125	0.0280138
1126	0.0276835
1127	0.0273534
1128	0.0270261
1129	0.0267016
1130	0.0263776
1131	0.0260542
1132	0.0257313
1133	0.0254087
1134	0.0250865
1135	0.0263509
1136	0.0210224
1137	0.0206606
1138	0.020299
1139	0.0199377
1140	0.0195767
1141	0.0192159
1142	0.0188558
1143	0.0184959
1144	0.0181374
1145	0.017805
1146	0.0175021
1147	0.0172059
1148	0.0169123
1149	0.0166196
1150	0.0163272
1151	0.0160393
1152	0.0157579
1153	0.0729288
1154	0.0726244
1155	0.0723206
1156	0.0720238
1157	0.0717354
1158	0.0714495
1159	0.071165
1160	0.0708818
1161	0.0706005
1162	0.0703214
1163	0.0700459
1164	0.0437414
1165	0.043528
1166	0.0433305
1167	0.054331
1168	0.0697734
1169	0.0695014
1170	0.0692315
1171	0.068967
1172	0.068708
1173	0.0684513
1174	0.0659372
1175	0.0661708
1176	0.066405
1177	0.0667249
1178	0.0671304
1179	0.0675397
1180	0.0679535
1181	0.0683683
1182	0.0687833
1183	0.0691983
1184	0.0951165
1185	0.0196736
1186	0.0194539
1187	0.0192388
1188	0.0190282
1189	0.0189277
1190	0.0189352
1191	0.0189452
1192	0.0189578
1193	0.0190697
1194	0.0192811
1195	0.0194952
1196	0.0197113
1197	0.0199274
1198	0.0771164
1199	0.0599334
1200	0.0595189
1201	0.0591045
1202	0.0586907
1203	0.0582775
1204	0.0578645
1205	0.0574516
1206	0.0570388
1207	0.0566261
1208	0.0562135
1209	0.055801
1210	0.0553887
1211	0.0549764
1212	0.0545643
1213	0.0541567
1214	0.0183375
1215	0.017926
1216	0.0175158
1217	0.0171058
1218	0.016696
1219	0.0162864
1220	0.0158771
1221	0.0154684
1222	0.0150606
1223	0.0146529
1224	0.0143293
1225	0.0140901
1226	0.013854
1227	0.0136226
1228	0.0133963
1229	0.0131986
1230	0.013028
1231	0.0128597
1232	0.0126933
1233	0.0125354
1234	0.0123861
1235	0.0122402
1236	0.0121012
1237	0.0119692
1238	0.0118413
1239	0.0117193
1240	0.0116065
1241	0.0114996
1242	0.0113963
1243	0.0112967
1244	0.0112046
1245	0.0111205
1246	0.0110425
1247	0.0109779
1248	0.0109248
1249	0.0108742
1250	0.0108245
1251	0.0107761
1252	0.0108195
1253	0.011079
1254	0.0114643
1255	0.01185
1256	0.0122375
1257	0.0126268
1258	0.0130163
1259	0.0134058
1260	0.0137953
1261	0.0141848
1262	0.0145745
1263	0.0149643
1264	0.0153542
1265	0.0157443
1266	0.0161388
1267	0.0165379
1268	0.0169371
1269	0.0173364
1270	0.0177357
1271	0.0181352
1272	0.0185348
1273	0.0892278
1274	0.0721423
1275	0.0644684
1276	0.064092
1277	0.0637161
1278	0.063342
1279	0.0629697
1280	0.0625975
1281	0.0622257
1282	0.0618541
1283	0.0614828
1284	0.0611116
1285	0
1286	0.000434734
1287	0.000869426
1288	0.00130408
1289	0.00173869
1290	0.00217326
1291	0.00260778
1292	0.00304227
1293	0.00347671
1294	0.00391112
1295	0.00434548
1296	0.0047798
1297	0.00521408
1298	0.00564832
1299	0.00608252
1300	0.00651667
1301	0.00695078
1302	0.00738486
1303	0.0901217
1304	0.00521408
1305	0.0047798
1306	0.00434548
1307	0.00391112
1308	0.00347671
1309	0.00304227
1310	0.00260778
1311	0.00217326
1312	0.00173869
1313	0.00130408
1314	0.000869426
1315	0.000434734
1316	0
1317	0.0201495
1318	0.0203882
1319	0.0206376
1320	0.0209546
1321	0.0213389
1322	0.0217232
1323	0.0221077
1324	0.0253155
1325	0.0248833
1326	0.0244522
1327	0.0240222
1328	0.0235922
1329	0.0231621
1330	0.0227321
1331	0.022302
1332	0.021872
1333	0.021442
1334	0.021012
1335	0.020582
1336	0.020152
1337	0.0197219
1338	0.0192919
1339	0.0188618
1340	0.0184325
1341	0.018004
1342	0.0175754
1343	0.0171469
1344	0.0167183
1345	0.0162896
1346	0.0158609
1347	0.0154323
1348	0.0150036
1349	0.0145748
1350	0.014146
1351	0.0137172
1352	0.0132884
1353	0.0128668
1354	0.0124525
1355	0.0120383
1356	0.0117233
1357	0.0112897
1358	0.010856
1359	0.0104222
1360	0.00998843
1361	0.0095546
1362	0.00912074
1363	0.00868683
1364	0.00825288
1365	0.00781889
1366	0.00738486
1367	0.00695078
1368	0.00651667
1369	0.00608252
1370	0.00564832
1371	0.00521408
1372	0.0047798
1373	0.00434548
1374	0.00391112
1375	0.00347671
1376	0.00304227
1377	0.00260778
1378	0.00217326
1379	0.00173869
1380	0.00130408
1381	0.000869426
1382	0.000434734
1383	0
1384	0.0104222
1385	0.00998843
1386	0.0095546
1387	0.00912074
1388	0.00868683
1389	0.00825288
1390	0.00781889
1391	0.00738486
1392	0.00695078
1393	0.00651667
1394	0.00608252
1395	0.00564832
1396	0.00521408
1397	0.0047798
1398	0.00434548
1399	0.00391112
1400	0.00347671
1401	0.00304227
1402	0.00260778
1403	0.00217326
1404	0.00173869
1405	0.00130408
1406	0.000869426
1407	0.000434734
1408	0
1409	0.0610559
1410	0.0534585
1411	0.053052
1412	0.0526456
1413	0.0522392
1414	0.0518334
1415	0.0514282
1416	0.0510231
1417	0.050618
1418	0.0502133
1419	0.0498087
1420	0.049405
1421	0.0490019
1422	0.0485989
1423	0.0481961
1424	0.0479402
1425	0.047833
1426	0.0477297
1427	0.0476296
1428	0.0475507
1429	0.0474959
1430	0.0474607
1431	0.0952846
1432	0.0956977
1433	0.0961109
1434	0.0965242
1435	0.0969376
1436	0.097351
1437	0.0977644
1438	0.098178
1439	0.0985916
1440	0.0990071
1441	0.0994244
1442	0.112319
1443	0.139431
1444	0.0758328
1445	0.07544
1446	0.0750473
1447	0.0746547
1448	0.0742622
1449	0.0738778
1450	0.0735015
1451	0.0731251
1452	0.0727489
1453	0.0723728
1454	0.0719967
1455	0.0533049
1456	0.0535339
1457	0.0537675
