Vertex Idx	Current Accumulated Length (km)
6666	 	0
6665	 	1.864970
6664	 	1.912990
6735	 	3.088790
6734	 	4.566150
6733	 	6.095570
6736	 	6.914220
6796	 	8.685890
6798	 	9.066120
7043	 	9.876370
7044	 	10.030690
7045	 	10.842720
7046	 	11.265360
7047	 	11.869320
7048	 	16.576170
7042	 	17.807570
7057	 	18.626370
7076	 	20.703080
7244	 	21.261490
7245	 	21.536720
7246	 	22.558780
7247	 	23.726050
7248	 	25.514080
7249	 	26.141660
7250	 	30.497350
7221	 	33.180550
7500	 	34.423550
7501	 	35.468160
7502	 	39.534430
7503	 	42.142380
7504	 	42.577250
7505	 	43.292310
7506	 	45.055830
7507	 	48.596890
7508	 	49.920860
7509	 	49.997470
7633	 	52.079580
7655	 	53.612750
8002	 	65.211260
8001	 	66.205050
8000	 	68.054090
8079	 	70.282840
8080	 	70.622390
8082	 	70.772050
8104	 	74.279400
8137	 	76.633430
8138	 	76.740480
8172	 	79.834970
8431	 	80.894610
8430	 	83.394460
8429	 	85.778730
8428	 	88.098420
8427	 	90.478810
8426	 	91.961800
8425	 	95.075740
8814	 	97.038610
8813	 	102.667480
8812	 	102.913550
8811	 	104.531000
8810	 	106.536150
8809	 	106.994870
8808	 	109.805720
8807	 	111.011200
8806	 	115.146250
8882	 	120.335100
9018	 	122.701550
9023	 	123.995100
9026	 	124.793150
9031	 	125.558600
9046	 	126.320950
9127	 	127.547010
9126	 	132.769980
9125	 	133.563170
9124	 	134.873870
9173	 	135.978830
9174	 	138.859320
9175	 	139.808040
9176	 	139.910000
9197	 	141.163710
9198	 	142.290930
9204	 	142.354740
9395	 	144.981200
9396	 	145.304510
9397	 	146.544020
9566	 	147.731250
9567	 	149.503240
9568	 	152.246580
9569	 	153.582750
9570	 	154.995160
9571	 	155.893470
9572	 	156.225140
9573	 	156.783630
9574	 	157.457850
9575	 	158.704750
9576	 	159.423460
9577	 	160.193000
9578	 	168.046540
9581	 	168.302640
9586	 	169.491450
9587	 	170.354440
9589	 	170.569030
9718	 	170.907500
9719	 	171.572290
9720	 	173.801290
9721	 	179.701640
9722	 	180.128690
9825	 	181.332560
9836	 	181.410740
9847	 	183.579470
9886	 	186.172540
9887	 	186.301190
10119	 	191.930170
10118	 	192.938530
10117	 	194.432130
10116	 	204.319680
10115	 	208.529400
10200	 	208.684660
10201	 	209.095750
10202	 	216.015700
10203	 	217.772510
10497	 	227.676750
10498	 	235.059890
10507	 	235.299320
10532	 	236.627240
10517	 	237.742620
10510	 	237.836280
10509	 	239.740830
10508	 	240.964770
10425	 	242.695560
10424	 	244.896570
10423	 	247.551910
10404	 	261.111120
10417	 	262.676690
10418	 	263.417490
10419	 	264.307000
10420	 	266.697080
10421	 	267.998080
10422	 	269.488930
10426	 	270.327880
10447	 	270.851350
10448	 	271.491570
10499	 	272.290090
10500	 	273.282000
10501	 	274.339730
10502	 	275.580350
10503	 	277.381180
10504	 	277.858140
10505	 	278.847310
10506	 	279.570370
10523	 	280.455010
10524	 	280.998600
10525	 	282.512920
10526	 	283.195430
10527	 	284.325560
10528	 	284.459670
10529	 	285.622600
10530	 	288.682150
10531	 	290.561570
10255	 	292.379310
10256	 	293.281390
10257	 	294.523600
10258	 	295.555080
10259	 	296.448920
10260	 	296.903460
10261	 	298.217550
10262	 	299.032320
10263	 	300.009480
10264	 	301.324670
10265	 	302.459470
10266	 	303.349150
10267	 	304.580570
10268	 	305.425610
10269	 	305.837680
10270	 	310.808590
10271	 	311.606470
10272	 	312.266690
10273	 	312.953030
10274	 	313.508020
10275	 	314.243090
10276	 	315.106870
10277	 	315.636230
10278	 	316.100030
10279	 	316.567620
10280	 	319.270310
10281	 	321.556020
10282	 	323.281560
10283	 	324.706130
10284	 	325.517670
10285	 	327.106160
10286	 	328.597050
10287	 	330.364640
10288	 	330.950380
10289	 	331.130710
10290	 	331.836370
10291	 	332.111620
10292	 	332.396900
10293	 	332.558460
10294	 	333.069800
10295	 	333.970340
10296	 	334.255190
10297	 	335.018600
10298	 	335.588620
10299	 	337.258380
10300	 	338.009350
10301	 	339.731220
10302	 	340.470280
10303	 	342.232460
10304	 	343.023260
10305	 	343.336770
10306	 	344.368250
10307	 	344.977820
10308	 	346.702130
10309	 	348.624910
10310	 	350.302930
10311	 	351.127840
10312	 	352.584580
10313	 	353.079480
10314	 	353.742650
10315	 	355.142470
10316	 	355.474700
10317	 	356.562210
10318	 	357.460180
10319	 	358.542080
10320	 	359.408900
10321	 	361.212850
10322	 	363.466720
10323	 	365.418380
10324	 	366.280960
10325	 	367.853740
10326	 	368.208260
10327	 	369.521840
10328	 	370.569680
10329	 	371.529140
10330	 	372.466550
10331	 	373.516930
10332	 	375.476160
10333	 	376.380920
10334	 	377.507210
10335	 	378.950920
10000	 	380.158400
9999	 	381.806200

 total length:	381.806200
