Vertex Idx	Current Accumulated Length (km)
1	 	0
0	 	0.168120
6	 	0.662330
5	 	1.238380
7	 	1.370270
265	 	1.670920
264	 	7.269380
263	 	10.002690
262	 	11.296980
261	 	16.227800
260	 	18.595700
259	 	23.539880
258	 	23.988830
297	 	24.404140
700	 	26.916420
699	 	28.061040
698	 	33.650330
697	 	34.495820
696	 	35.060370
695	 	38.934280
694	 	43.818450
693	 	45.254050
692	 	47.587390
691	 	47.757340
690	 	48.361070
689	 	49.349980
688	 	52.608110
687	 	55.343160
686	 	56.364460
685	 	57.402010
684	 	59.899780
683	 	61.227250
682	 	61.570250
889	 	61.989380
888	 	64.114220
887	 	65.276610
886	 	65.642600
885	 	67.714060
884	 	68.638520
883	 	74.011140
882	 	76.873600
881	 	77.880140
880	 	79.249170
913	 	81.341970
1027	 	83.648020
1028	 	84.654010
1029	 	95.319970
1030	 	95.579970
1031	 	97.046830
1026	 	97.431760
1032	 	98.286760
1726	 	101.900250
1727	 	103.207480
1728	 	104.531860
1729	 	105.932120
1730	 	108.160960
1731	 	111.086020
1732	 	112.259980
1733	 	112.706440
1734	 	115.113620
1735	 	116.525350
1736	 	121.804860
1737	 	123.349130
1738	 	126.239350
1739	 	126.703280
1740	 	128.703500
1741	 	136.214370
1742	 	138.556310
1743	 	140.079710
1744	 	140.219270
1745	 	141.353590
1746	 	142.486280
1747	 	146.675110
1748	 	148.323070
1749	 	149.303300
1750	 	150.785860
1751	 	151.711470
1752	 	153.189400
1753	 	154.186180
1754	 	156.191430
1755	 	158.059970
1756	 	160.242500
1757	 	161.598490
1820	 	162.483460
1821	 	163.300550
1822	 	164.972990
1823	 	165.247820
1824	 	165.809420
1825	 	166.282150
1886	 	166.456260
1887	 	170.147240
2072	 	174.686350
2073	 	177.110170
2074	 	178.793330
2075	 	181.253320
2076	 	182.492580
2077	 	183.382330
2078	 	184.125950
2071	 	184.655370
2070	 	185.099460
2079	 	185.795380
2085	 	187.806490
2110	 	189.973990
2486	 	191.626800
2485	 	193.615730
2484	 	194.227680
2483	 	195.821140
2482	 	200.513680
2481	 	207.033090
2480	 	208.194790
2536	 	211.532390
2535	 	211.925400
3027	 	212.906190
3026	 	213.897790
3025	 	216.574510
3024	 	221.980160
3023	 	222.953930
3022	 	225.324380
3021	 	232.900310
3020	 	234.879720
3019	 	235.946570
3136	 	238.338980
3137	 	240.753530
3346	 	251.121910
3347	 	254.727050
3348	 	257.738390
3476	 	261.881390
3475	 	264.438690
3474	 	265.716660
3964	 	267.043950
3963	 	281.574270
3962	 	285.009580
3961	 	292.406980
3960	 	292.546340
4258	 	305.513300
4259	 	310.861110
4748	 	312.175240
4747	 	312.589420
4746	 	314.866110
4745	 	316.829220
4744	 	326.315310
4743	 	333.271360
4742	 	334.011020
4741	 	334.477730
4740	 	335.662510
4739	 	336.612630
4738	 	338.216070
4737	 	339.349160
5156	 	339.551320
5155	 	340.340040
5154	 	346.659750
5153	 	350.955820
5152	 	351.684500
5810	 	352.524290
5811	 	352.809320
5812	 	353.139770
5813	 	354.170250
5814	 	354.710400
5815	 	356.416710
5816	 	357.620660
5817	 	357.991070
5818	 	359.418650
5819	 	362.103700
5820	 	365.052380
5821	 	371.158460
5822	 	375.698900
5823	 	377.261810
5824	 	378.070200
5825	 	379.903990
5826	 	381.479120
5827	 	383.153790
5828	 	384.782510
5829	 	386.546460
5830	 	387.080500
5831	 	388.210870
5832	 	391.667530
5833	 	392.339110
5834	 	393.477030
6247	 	394.552880
6246	 	395.224130
6245	 	398.265080
6244	 	399.699370
6243	 	401.470920
6242	 	403.076140
6241	 	404.451550
6240	 	408.262000
6239	 	410.661750
6238	 	412.220960
6237	 	413.091160
6236	 	413.421660
6235	 	414.093480
6234	 	415.017620
6233	 	416.247730
6318	 	416.972010
6317	 	417.893530
6316	 	418.349370
6315	 	418.852930
6330	 	422.937380
6329	 	426.270700
6328	 	428.720040
6464	 	431.750670
6465	 	436.398800
6466	 	437.216020
6463	 	440.731520
6532	 	442.655870
6534	 	442.829040
6630	 	445.545840
6631	 	446.368370
6632	 	446.946130
6642	 	447.811100
6643	 	448.226340
6749	 	448.382980
6750	 	449.582070
6751	 	450.656660
6752	 	451.696840
6753	 	452.767570
6754	 	454.526310
6755	 	455.704590
6756	 	456.354980
6757	 	456.679290
6758	 	457.688390
6833	 	457.833180
6834	 	458.357360
6835	 	458.883950
6870	 	459.148990
7085	 	461.901140
7086	 	462.636430
7087	 	464.599960
7088	 	467.447290
7089	 	468.541500
7090	 	470.753290
7387	 	475.452230
7388	 	478.688950
7389	 	484.554070
7390	 	487.026360
7391	 	488.320670
7671	 	491.929650
7670	 	492.899220
7669	 	495.038430
7668	 	499.754300
7667	 	500.982980
8048	 	502.718350
8047	 	506.888680
8046	 	516.994620
8049	 	517.128460
8104	 	522.640230
8190	 	528.952850
8191	 	529.076280
8471	 	531.433510
8470	 	532.625300
8469	 	534.132390
8468	 	536.833140
8467	 	540.903940
8466	 	542.315840
8485	 	544.028640
8484	 	544.463820
8530	 	546.998620
8788	 	554.730500
9032	 	564.348170
9392	 	570.778710
9391	 	575.799290
9390	 	578.208770
9389	 	583.390720
9388	 	585.962530
10187	 	591.601380
10186	 	593.347410
10185	 	595.095880
10184	 	601.333940
10183	 	603.785430
10182	 	609.247150
10181	 	610.831810
10180	 	617.245920
10179	 	620.163360
10178	 	624.318140
10177	 	625.239200
10176	 	626.911460
10175	 	627.369860
10174	 	628.665840
10213	 	628.861110
10212	 	631.916500
10211	 	635.920890
10214	 	651.883320
10234	 	664.881680
10233	 	665.855170
10232	 	670.096900
10231	 	672.961650
10230	 	674.757170
10229	 	679.444790
10193	 	680.231120
10204	 	698.236780
10203	 	704.423910
10497	 	714.328150
10498	 	721.711290
10507	 	721.950720
10532	 	723.278640
10517	 	724.394020
10510	 	724.487680
10509	 	726.392230
10508	 	727.616170
10425	 	729.346960
10424	 	731.547970
10423	 	734.203310
10404	 	747.762520
10692	 	751.210090
10693	 	766.725710
10708	 	774.355320
10721	 	777.250060
10705	 	787.772690
10706	 	789.273380
10707	 	790.755900
10652	 	791.714300
10651	 	791.948980
10650	 	794.635010
10649	 	794.931400
10648	 	796.367930
10647	 	798.057360
10646	 	800.034910
10645	 	802.100260
10644	 	802.737110
10643	 	803.068590
10642	 	804.093130
10641	 	805.351850
10640	 	806.461680
10639	 	807.468070
10638	 	809.026190
10255	 	813.111250
10256	 	814.013330
10257	 	815.255540
10258	 	816.287020
10259	 	817.180860
10260	 	817.635400
10261	 	818.949490
10262	 	819.764260
10263	 	820.741420
10264	 	822.056610
10265	 	823.191410
10266	 	824.081090
10267	 	825.312510
10268	 	826.157550
10269	 	826.569620
10270	 	831.540530
10271	 	832.338410
10272	 	832.998630
10273	 	833.684970
10274	 	834.239960
10275	 	834.975030
10276	 	835.838810
10277	 	836.368170
10278	 	836.831970
10279	 	837.299560
10280	 	840.002250
10281	 	842.287960
10282	 	844.013500
10283	 	845.438070
10284	 	846.249610
10285	 	847.838100
10286	 	849.328990
10287	 	851.096580
10288	 	851.682320
10289	 	851.862650
10290	 	852.568310
10291	 	852.843560
10292	 	853.128840
10293	 	853.290400
10294	 	853.801740
10295	 	854.702280
10296	 	854.987130
10297	 	855.750540
10298	 	856.320560
10299	 	857.990320
10300	 	858.741290
10301	 	860.463160
10302	 	861.202220
10303	 	862.964400
10304	 	863.755200
10305	 	864.068710
10306	 	865.100190
10307	 	865.709760
10308	 	867.434070
10309	 	869.356850
10310	 	871.034870
10311	 	871.859780
10312	 	873.316520
10313	 	873.811420
10314	 	874.474590
10315	 	875.874410
10316	 	876.206640
10317	 	877.294150
10318	 	878.192120
10319	 	879.274020
10320	 	880.140840
10321	 	881.944790
10322	 	884.198660
10323	 	886.150320
10324	 	887.012900
10325	 	888.585680
10326	 	888.940200
10327	 	890.253780
10328	 	891.301620
10329	 	892.261080
10330	 	893.198490
10331	 	894.248870
10332	 	896.208100
10333	 	897.112860
10334	 	898.239150
10335	 	899.682860
10000	 	900.890340
9999	 	902.538140

 total length:	902.538140
