Vertex Idx	Current Accumulated Length (km)
20	 	0
19	 	0.901560
18	 	2.448820
17	 	3.520300
16	 	6.287260
15	 	7.531050
14	 	8.337040
13	 	11.020630
12	 	12.371630
11	 	14.779650
10	 	16.222490
9	 	17.441570
37	 	17.758320
38	 	19.270940
39	 	22.424640
352	 	23.720930
351	 	26.114480
350	 	27.901550
349	 	31.003420
348	 	32.232990
347	 	35.966020
353	 	36.172000
354	 	36.746390
407	 	37.396090
408	 	38.774150
409	 	41.296770
410	 	44.041900
411	 	44.716590
412	 	45.859920
413	 	50.697430
414	 	57.659850
415	 	58.881060
416	 	62.040100
417	 	64.653490
418	 	64.946860
419	 	66.042710
420	 	68.671910
421	 	72.030590
422	 	74.443120
423	 	75.443140
424	 	76.529890
425	 	77.302220
426	 	78.604210
427	 	79.971150
428	 	80.602110
429	 	82.453880
430	 	83.335810
431	 	83.767940
432	 	84.765440
433	 	85.396640
434	 	85.939420
297	 	89.519270
258	 	89.934580
336	 	90.616700
335	 	95.231050
334	 	96.686170
333	 	97.310630
332	 	98.864680
331	 	100.515460
330	 	100.986030
329	 	101.308210
328	 	103.226280
327	 	106.526960
326	 	110.406380
325	 	113.681920
315	 	114.937420
627	 	115.292010
628	 	116.389640
629	 	117.313250
630	 	119.271300
631	 	122.121530
632	 	124.466230
633	 	127.429110
634	 	128.840730
635	 	128.907770
636	 	130.773760
637	 	131.401010
638	 	132.409970
639	 	133.605600
640	 	135.242010
641	 	140.101360
642	 	142.468690
592	 	142.794250
593	 	143.881620
594	 	145.013140
595	 	145.490740
596	 	147.380890
597	 	148.122520
598	 	148.748720
599	 	150.564050
600	 	152.325410
601	 	152.889830
602	 	153.985920
603	 	156.759330
604	 	156.949930
605	 	158.202650
606	 	159.202450
607	 	161.363210
608	 	163.268620
609	 	165.181590
610	 	165.977250
611	 	166.484860
612	 	168.034900
613	 	168.467120
614	 	170.094520
615	 	170.721660
616	 	173.860820
617	 	174.876940
618	 	175.936730
619	 	179.246030
620	 	179.841200
621	 	180.452920
622	 	181.200060
623	 	181.771300
624	 	182.814870
625	 	183.668740
626	 	184.683880
388	 	186.388740
541	 	187.706500
540	 	189.043440
539	 	190.538060
538	 	193.411630
537	 	195.221380
536	 	196.246210
535	 	196.739240
534	 	197.454930
533	 	199.262340
532	 	199.512030
531	 	200.558730
530	 	201.784930
529	 	202.902300
528	 	205.390310
527	 	208.247260
526	 	209.593100
525	 	210.638630
524	 	211.256730
523	 	212.237150
480	 	213.217640
479	 	219.153150
478	 	220.327660
457	 	220.748670
456	 	221.168230
455	 	223.408120
454	 	225.104710
453	 	226.832760
452	 	227.489330
451	 	227.961940
450	 	230.947360
449	 	231.814200
448	 	234.151070
447	 	235.066590
446	 	235.839310
445	 	237.442560
444	 	238.858810
443	 	240.433270
442	 	241.461560
441	 	241.653310
440	 	243.080790
439	 	244.525890
438	 	248.018420
437	 	250.809690
436	 	251.936680
435	 	254.248580
58	 	255.419040
57	 	257.716010
56	 	259.095780
55	 	260.017630
54	 	260.183120
53	 	261.455130
52	 	263.945690
51	 	264.779870
50	 	267.078590

 total length:	267.078590
