Vertex Idx	Current Accumulated Length (km)
30	 	0
29	 	1.227660
28	 	3.690440
27	 	4.045710
26	 	5.076030
25	 	5.712570
24	 	6.677470
23	 	7.711680
22	 	8.709090
21	 	9.420400
20	 	10.500800
19	 	11.402360
18	 	12.949620
17	 	14.021100
16	 	16.788060
15	 	18.031850
14	 	18.837840
13	 	21.521430
12	 	22.872430
11	 	25.280450
10	 	26.723290
9	 	27.942370
37	 	28.259120
38	 	29.771740
39	 	32.925440
81	 	34.254860
82	 	34.919890
98	 	37.041290
97	 	38.082140
96	 	39.116570
95	 	39.623480
94	 	41.425770
93	 	42.494190
92	 	43.983100
91	 	46.284980
90	 	46.798240

 total length:	46.798240
